PaperId,AuthorId,Name,Affiliation
1,521630,Ayman Kaheel,Cairo Microsoft Innovation Lab
1,972575,Mahmoud Refaat,Cairo Microsoft Innovation Lab
1,1528710,Ahmed Abdul-hamid,Cairo Microsoft Innovation Lab
1,1611750,Motaz Ahmad El-saban,Cairo Microsoft Innovation Lab
2,1682088,Julio D. Rossi,"Departamento Matemática, FCEyN UBA (1428) Buenos Aires, Argentina"
2,2070803,Liviu I. Ignat,"Departamento de Matemáticas, U. Autónoma de Madrid, 28049 Madrid, Spain"
3,627950,Andrew Cain,Swinburne University of Technology
3,1369077,A. J. Cain,
3,1695699,J. D. Currey,
4,30604,ERIKA M. ADAMS,
4,1415574,STEVAN J. ARNOLD,
4,1456512,ADAM G. JONES,
5,1102257,Kazuo Iwama,Kyushu University 812 Fukuoka Japan 812 Fukuoka Japan
6,1806301,Asgeir Finnseth,
6,2252569,Guðmundur Jökulsson,
7,1491002,M. H. Friedman,
8,146002,M. C. POSTEL-VINAY,
8,318484,Patrick Durand,The french National Institute for Research in Computer science and Control
8,1453825,S. LOPEZ,
8,1591246,M. LAVAU,
8,1976867,P. DURAND,
9,32948,Matthias P. A. Ebert,
9,456048,Suzanne H. Mooney,
9,557068,Christoph Röcken,
9,595490,Jie Chen,
9,669019,Hans-Ulrich Schulzb,
9,787848,Catherine Lofton-Day,
9,1059410,Peter Malfertheinerb,
9,1370072,Juliane Hoffmann,
9,1752826,Joe Lograsso,
9,2075616,Lori Tonnes-Priddy,
9,2151636,Jian Chen,Nanjing University
10,7052,Jun Du,
10,84626,Chungu Lu,NOAA|Forecast Systems Laboratory|Colorado State University
10,289198,Steve Tracton,Office of Naval Research
10,1876916,Stan Benjamin,NOAA Forecast Systems Laboratory
10,1925401,Jun Du,Microsoft
11,1278342,Antónia Lopes,"Department of Informatics, Faculty of Sciences, University of Lisbon, Campo Grande, 1749-016 Lisboa, Portugal"
11,1501165,Laura Bocchi,"Department of Computer Science, University of Leicester, University Road, Leicester, LE1 7RH UK"
11,1607874,José Luiz Fiadeiro,"Department of Computer Science, University of Leicester, University Road, Leicester, LE1 7RH UK"
12,609769,Toshitsugu Yuba,"Department of Network Science, Graduate School of Information Systems, The University of Electro-Communications"
12,1586598,Hiroaki Honda,"Department of Network Science, Graduate School of Information Systems, The University of Electro-Communications"
12,1750679,Kenji Kise,"Department of Network Science, Graduate School of Information Systems, The University of Electro-Communications"
12,2074708,Takahiro Katagiri,University of Tokyo
12,2074708,Takahiro Katagiri,"Department of Network Science, Graduate School of Information Systems, The University of Electro-Communications"
13,14898,S. Roy,
13,28903,R. M. D'Souza,
13,656591,Z. M. Saul,
13,1423262,P. T. Devanbu,
13,1463152,V. Filkov,
14,864723,Zhijun Wang,
14,876755,Junbing Pu,
14,1044972,Zhiyong Hu,
14,1845853,Pengfei Gou,
14,1947676,Daoxian Yuan,
14,2032097,Qiufang He,
15,951408,Yoshihiro Nakamura,
15,1312880,Yasuo Kataoka,
15,1385251,Yutaka Mitsunaga,
15,2271702,Yasuyuki Kato,
16,931086,Daniele Bertaccini,"University of Firenze Dipartimento di Matematica viale Morgagni, 67/a 50134 Firenze Italy"
16,1088317,Michael K. Ng,The University of Hong Kong Department of Mathematics Pokfulam Road Hong Kong
17,604798,Shalom Tsur,
17,1313052,Sumit Ganguly,
17,2100431,Abraham Silberschatz,
18,564351,Bernard P. Zeigler,
18,669847,Peter Bichler,
18,1622395,Herbert Praehofer,
19,1698565,Catalin Dima,
20,1020050,Klaus F. Zimmermann,
20,1892818,Nikos Askitas,
21,168700,James D Luketich,
21,814142,Ninh T Nguyen,
21,1730810,Philip R Schauer,
22,76507,Jonathan H Hamilton,
23,117601,Hans Herrmann,
23,399738,Armin Bunde,
23,669370,H. Stanley,
23,1268324,Alla Margolina,
24,73938,J. M. Jin,
24,544516,W. C. Chew,
24,2132279,L. E. Sun,
25,122269,John Dowding,
